Time,Topic_Relevance,Topic_Keywords,Polarity_Diff
2016-08-21 21:20:00,0.0863731002077,"latest, thanks, daily",21.4
2016-08-21 21:30:00,0.0863303469765,"latest, thanks, daily",21.4
2016-08-21 21:40:00,0.0853776987665,"latest, thanks, daily",21.4
2016-08-21 21:50:00,0.0844986469102,"latest, thanks, daily",21.4
2016-08-21 22:00:00,0.0830837951384,"latest, thanks, daily",21.4
2016-08-21 22:10:00,0.0791611325243,"latest, thanks, daily",21.4
2016-08-21 22:20:00,0.0774548987916,"latest, thanks, daily",21.4
2016-08-21 22:30:00,0.0727951503939,"latest, thanks, daily",21.4
2016-08-21 22:40:00,0.0765504619843,"latest, thanks, daily",21.4
2016-08-21 22:50:00,0.0734097203744,"latest, thanks, daily",21.4
2016-08-21 23:00:00,0.0568861247694,"latest, thanks, daily",21.4
2016-08-21 23:10:00,0.0641391626005,"latest, thanks, daily",21.4
2016-08-21 23:20:00,0.0711471262967,"latest, thanks, daily",21.4
2016-08-21 23:30:00,0.0724973713478,"latest, thanks, daily",21.4
2016-08-21 23:40:00,0.0745112346179,"latest, thanks, daily",21.4
2016-08-21 23:50:00,0.0729062671404,"latest, thanks, daily",21.4
2016-08-22 00:00:00,0.0682385959241,"latest, thanks, daily",21.4
2016-08-22 00:10:00,0.0674580249584,"latest, thanks, daily",21.4
2016-08-22 00:20:00,0.0746248660719,"latest, thanks, daily",21.4
2016-08-22 00:30:00,0.0776152198044,"latest, thanks, daily",21.4
2016-08-22 00:40:00,0.0716460496976,"latest, thanks, daily",21.4
2016-08-22 00:50:00,0.0657399293057,"latest, thanks, daily",21.4
2016-08-22 01:00:00,0.0705171914712,"latest, thanks, daily",21.4
2016-08-22 01:10:00,0.0749970538758,"latest, thanks, daily",21.4
2016-08-22 01:20:00,0.0679281803013,"latest, thanks, daily",21.4
2016-08-22 01:30:00,0.0634892423285,"latest, thanks, daily",21.4
2016-08-22 01:40:00,0.0763556892261,"latest, thanks, daily",21.4
2016-08-22 01:50:00,0.069303544536,"latest, thanks, daily",21.4
2016-08-22 02:00:00,0.0667424766285,"latest, thanks, daily",21.4
2016-08-22 02:10:00,0.0658504050612,"latest, thanks, daily",21.4
2016-08-22 02:20:00,0.0706332698614,"latest, thanks, daily",21.4
2016-08-22 02:30:00,0.0753140465232,"latest, thanks, daily",21.4
2016-08-22 02:40:00,0.0727916683969,"latest, thanks, daily",21.4
2016-08-22 02:50:00,0.0722721582312,"latest, thanks, daily",21.4
2016-08-22 03:00:00,0.0670336730054,"latest, thanks, daily",21.4
2016-08-22 03:30:00,0.07048762382,"latest, thanks, daily",21.4
2016-08-22 03:40:00,0.0689204501484,"latest, thanks, daily",21.4
2016-08-22 03:50:00,0.0727109853204,"latest, thanks, daily",21.4
2016-08-22 04:00:00,0.0765009711238,"latest, thanks, daily",21.4
2016-08-22 04:10:00,0.0783003833191,"latest, thanks, daily",21.4
2016-08-22 04:20:00,0.0737075843347,"latest, thanks, daily",21.4
2016-08-22 04:30:00,0.0695963229307,"latest, thanks, daily",21.4
2016-08-22 04:40:00,0.0809640173902,"latest, thanks, daily",21.4
2016-08-22 04:50:00,0.0788266253788,"latest, thanks, daily",21.4
2016-08-22 05:00:00,0.0828623836208,"latest, thanks, daily",21.4
2016-08-22 05:10:00,0.0797351497947,"latest, thanks, daily",21.4
2016-08-22 05:20:00,0.0679371932565,"latest, thanks, daily",21.4
2016-08-22 05:30:00,0.0834664422379,"latest, thanks, daily",21.4
2016-08-22 05:40:00,0.0855507955726,"latest, thanks, daily",21.4
2016-08-22 05:50:00,0.080819202894,"latest, thanks, daily",21.4
2016-08-22 06:00:00,0.087583971492,"latest, thanks, daily",21.4
2016-08-22 06:10:00,0.0827207199803,"latest, thanks, daily",21.4
2016-08-22 06:20:00,0.0842395742293,"latest, thanks, daily",21.4
2016-08-22 06:30:00,0.0839071498009,"latest, thanks, daily",21.4
2016-08-22 06:40:00,0.0882707374707,"latest, thanks, daily",21.4
2016-08-22 06:50:00,0.0841680617477,"latest, thanks, daily",21.4
2016-08-22 07:00:00,0.0890803520663,"latest, thanks, daily",21.4
2016-08-22 07:10:00,0.0915995663779,"latest, thanks, daily",21.4
2016-08-22 07:20:00,0.104298955065,"latest, thanks, daily",21.4
2016-08-22 07:30:00,0.0935269879801,"latest, thanks, daily",21.4
2016-08-22 07:40:00,0.0952350355497,"latest, thanks, daily",21.4
2016-08-22 07:50:00,0.0977592309638,"latest, thanks, daily",21.4
2016-08-22 08:00:00,0.0915397613942,"latest, thanks, daily",21.4
2016-08-22 08:10:00,0.0989168768944,"latest, thanks, daily",21.4
2016-08-22 08:20:00,0.0965723645103,"latest, thanks, daily",21.4
2016-08-22 08:30:00,0.101104394041,"latest, thanks, daily",21.4
2016-08-22 08:40:00,0.105869766623,"latest, thanks, daily",21.4
2016-08-22 08:50:00,0.11252040173,"latest, thanks, daily",21.4
2016-08-22 09:00:00,0.10802162245,"latest, thanks, daily",21.4
2016-08-22 09:10:00,0.10141416232,"latest, thanks, daily",21.4
2016-08-22 09:20:00,0.113256074817,"latest, thanks, daily",21.4
2016-08-22 09:30:00,0.106155297627,"latest, thanks, daily",21.4
2016-08-22 09:40:00,0.0966665843177,"latest, thanks, daily",21.4
2016-08-22 09:50:00,0.109666398681,"latest, thanks, daily",21.4
2016-08-22 10:00:00,0.107739316683,"latest, thanks, daily",21.4
2016-08-22 10:10:00,0.0958603620573,"latest, thanks, daily",21.4
2016-08-22 10:20:00,0.0970532417333,"latest, thanks, daily",21.4
2016-08-21 20:50:00,-0.0608400720237,😂,61.3
2016-08-21 21:00:00,-0.0608076920273,😂,61.3
2016-08-21 21:10:00,-0.0627338378346,😂,61.3
2016-08-21 21:20:00,-0.0614221639989,😂,61.3
2016-08-21 21:30:00,-0.0624082107372,😂,61.3
2016-08-21 21:40:00,-0.0584573483863,😂,61.3
2016-08-21 21:50:00,-0.0570306718829,😂,61.3
2016-08-21 22:00:00,-0.0600826497301,😂,61.3
2016-08-21 22:10:00,-0.0520381873953,😂,61.3
2016-08-21 22:20:00,-0.0513880432593,😂,61.3
2016-08-21 22:30:00,-0.0566300453542,😂,61.3
2016-08-21 22:40:00,-0.0544971804328,😂,61.3
2016-08-21 22:50:00,-0.0485379599176,😂,61.3
2016-08-21 23:00:00,-0.0421678860014,😂,61.3
2016-08-21 23:10:00,-0.0437743990007,😂,61.3
2016-08-21 23:20:00,-0.0475857125968,😂,61.3
2016-08-21 23:30:00,-0.0504079788189,😂,61.3
2016-08-21 23:40:00,-0.050747234503,😂,61.3
2016-08-21 23:50:00,-0.0477324892643,😂,61.3
2016-08-22 00:00:00,-0.0449347876271,😂,61.3
2016-08-22 00:10:00,-0.0443643105801,😂,61.3
2016-08-22 00:20:00,-0.0426321842606,😂,61.3
2016-08-22 00:30:00,-0.0497555675063,😂,61.3
2016-08-22 00:40:00,-0.0454431117817,😂,61.3
2016-08-22 00:50:00,-0.0415232656754,😂,61.3
2016-08-22 01:00:00,-0.0439834220611,😂,61.3
2016-08-22 01:10:00,-0.045539451231,😂,61.3
2016-08-22 01:20:00,-0.0411034189641,😂,61.3
2016-08-22 01:30:00,-0.0429741913682,😂,61.3
2016-08-22 01:40:00,-0.0442986511993,😂,61.3
2016-08-22 01:50:00,-0.0439506180248,😂,61.3
2016-08-22 02:00:00,-0.0460542648966,😂,61.3
2016-08-22 02:10:00,-0.0420501856731,😂,61.3
2016-08-22 02:20:00,-0.0452147345824,😂,61.3
2016-08-22 02:30:00,-0.0472772245575,😂,61.3
2016-08-22 02:40:00,-0.0431575576459,😂,61.3
2016-08-22 02:50:00,-0.0450094174219,😂,61.3
2016-08-22 03:00:00,-0.0424567512565,😂,61.3
2016-08-22 03:30:00,-0.0446646705829,😂,61.3
2016-08-22 03:40:00,-0.0461805246998,😂,61.3
2016-08-22 03:50:00,-0.0358479681143,😂,61.3
2016-08-22 04:00:00,-0.0425268691769,😂,61.3
2016-08-22 04:10:00,-0.0397118732268,😂,61.3
2016-08-22 04:20:00,-0.0417235667943,😂,61.3
2016-08-22 04:30:00,-0.0402646308417,😂,61.3
2016-08-22 04:40:00,-0.0455266131014,😂,61.3
2016-08-22 04:50:00,-0.0392519609526,😂,61.3
2016-08-22 05:00:00,-0.04211946142,😂,61.3
2016-08-22 05:10:00,-0.0384557584014,😂,61.3
2016-08-22 05:20:00,-0.0353005661744,😂,61.3
2016-08-22 05:30:00,-0.0453202433227,😂,61.3
2016-08-22 05:40:00,-0.048619281875,😂,61.3
2016-08-22 05:50:00,-0.0430145775663,😂,61.3
2016-08-22 06:00:00,-0.0460442029795,😂,61.3
2016-08-22 06:10:00,-0.0456530120131,😂,61.3
2016-08-22 06:20:00,-0.0468926537784,😂,61.3
2016-08-22 06:30:00,-0.0474099151027,😂,61.3
2016-08-22 06:40:00,-0.0421802325403,😂,61.3
2016-08-22 06:50:00,-0.0448209306211,😂,61.3
2016-08-22 07:00:00,-0.0484933506492,😂,61.3
2016-08-22 07:10:00,-0.0484785248445,😂,61.3
2016-08-22 07:20:00,-0.0461915719841,😂,61.3
2016-08-22 07:30:00,-0.0502906866139,😂,61.3
2016-08-22 07:40:00,-0.047103016827,😂,61.3
2016-08-22 07:50:00,-0.0484849763048,😂,61.3
2016-08-22 08:00:00,-0.0498229282684,😂,61.3
2016-08-22 08:10:00,-0.0477604166517,😂,61.3
2016-08-22 08:20:00,-0.0506907328579,😂,61.3
2016-08-22 08:30:00,-0.0484016685557,😂,61.3
2016-08-22 08:40:00,-0.0512640485991,😂,61.3
2016-08-22 08:50:00,-0.050283146247,😂,61.3
2016-08-22 09:00:00,-0.047433679516,😂,61.3
2016-08-22 09:10:00,-0.0451126708832,😂,61.3
2016-08-22 09:20:00,-0.0487119743946,😂,61.3
2016-08-22 09:30:00,-0.0464001033273,😂,61.3
2016-08-22 09:40:00,-0.0490741909931,😂,61.3
2016-08-22 09:50:00,-0.0467096308877,😂,61.3
2016-08-22 10:00:00,-0.0511615047295,😂,61.3
2016-08-22 10:10:00,-0.0457398709712,😂,61.3
2016-08-22 10:20:00,-0.046733981501,😂,61.3
2016-08-21 20:50:00,-0.0303846104921,😢,-45.2
2016-08-21 21:00:00,-0.0451277467759,😢,-45.2
2016-08-21 21:10:00,-0.0471884146075,😢,-45.2
2016-08-21 21:20:00,-0.0475586633102,😢,-45.2
2016-08-21 21:30:00,-0.049258590357,😢,-45.2
2016-08-21 21:40:00,-0.0470060224626,😢,-45.2
2016-08-21 21:50:00,-0.0454960494892,😢,-45.2
2016-08-21 22:00:00,-0.046151378346,😢,-45.2
2016-08-21 22:10:00,-0.0438359022924,😢,-45.2
2016-08-21 22:20:00,-0.0356493151096,😢,-45.2
2016-08-21 22:30:00,-0.0380011078577,😢,-45.2
2016-08-21 22:40:00,-0.0426943267463,😢,-45.2
2016-08-21 22:50:00,-0.0279773856012,😢,-45.2
2016-08-21 23:00:00,-0.00866646071972,😢,-45.2
2016-08-21 23:10:00,-0.0107486277935,😢,-45.2
2016-08-21 23:20:00,-0.0195245468605,😢,-45.2
2016-08-21 23:30:00,-0.0159165048006,😢,-45.2
2016-08-21 23:40:00,-0.0198126331529,😢,-45.2
2016-08-21 23:50:00,-0.016096918785,😢,-45.2
2016-08-22 00:00:00,-0.00308842492809,😢,-45.2
2016-08-22 00:10:00,-0.00830581266789,😢,-45.2
2016-08-22 00:20:00,-0.00644496233257,😢,-45.2
2016-08-22 00:30:00,-0.0144781365603,😢,-45.2
2016-08-22 00:40:00,-0.00255919459589,😢,-45.2
2016-08-22 00:50:00,-0.00086565426227,😢,-45.2
